expression, support, number_variables, variables, complexity, diversity, comments
Z_1**2*Z_2**2*alfa**2*c**2*hbar**2/(16*E_n**2*sin(theta/2)**4), 1 2 1 2 1 2 1 2 1 2 1 3 1 3, 7, Z_1  Z_2  alfa  hbar  c  E_n  theta, 26, 2.953946878861866, Feynman-test_1 equation number 1
k_G*m*(sqrt(2*E_n*L**2/(k_G**2*m) + 1)*cos(theta1 - theta2) + 1)/L**2, 1 3 1 3 1 3 1 3 0 6 0 6, 6, m  k_G  L  E_n  theta1  theta2, 31, 3.375370910755242, Feynman-test_2 equation number 2
d*(1 - alfa**2)/(alfa*cos(theta1 - theta2) + 1), 1 3 2 4 4 5 4 5, 4, d  alfa  theta1  theta2, 21, 2.936158557953129, Feynman-test_3 equation number 3
sqrt(2)*sqrt((E_n - L**2/(2*m*r**2) - U)/m), 1 3 8 12 1 3 1 3 1 3, 5, m  E_n  U  L  r, 24, 3.085537067963962, Feynman-test_4 equation number 4
2*pi*d**(3/2)/sqrt(G*(m1 + m2)), 1 3 1 3 1 3 1 3, 4, d  G  m1  m2, 13, 2.564949357461537, Feynman-test_5 equation number 5
sqrt(2*E_n*L**2*epsilon**2/(Z_1**2*Z_2**2*m*q**4) + 1), 1 3 1 3 1 3 1 3 1 3 1 3 1 3, 7, epsilon  L  m  Z_1  Z_2  q  E_n, 25, 3.1128681881254874, Feynman-test_6 equation number 6
sqrt(8*pi*G*rho/3 - alfa*c**2/d**2), 1 3 1 3 1 2 1 2 1 3, 5, G  rho  alfa  c  d, 19, 2.9444389791664403, Feynman-test_7 equation number 7
E_n/(E_n*(1 - cos(theta))/(c**2*m) + 1), 1 3 1 3 1 3 1 3, 4, E_n  m  c  theta, 20, 2.9237840993113355, Feynman-test_8 equation number 8
-32*G**4*m1**2*m2**2*(m1 + m2)/(5*c**5*r**5), 1 2 1 2 1 5 1 5 1 2, 5, G  c  m1  m2  r, 24, 3.1186268889926643, Feynman-test_9 equation number 9
arccos((cos(theta2) - v/c)/(1 - v*cos(theta2)/c)), 4 6 1 3 1 3, 3, c  v  theta2, 19, 2.8608146679218716, Feynman-test_10 equation number 10
4*I_0*sin(alfa/2)**2*sin(delta*n/2)**2/(alfa**2*sin(delta/2)**2), 1 3 1 3 1 3 1 2, 4, I_0  alfa  delta  n, 25, 3.159263958312302, Feynman-test_11 equation number 11
q*(4*pi*Volt*d*epsilon - d*q*y**3/(-d**2 + y**2)**2)/(4*pi*epsilon*y**2), 1 5 1 3 1 5 4 6 1 5, 5, q  y  Volt  d  epsilon, 32, 3.3427575649465755, Feynman-test_12 equation number 12
q/(4*pi*epsilon*sqrt(d**2 - 2*d*r*cos(alfa) + r**2)), 1 5 1 3 4 6 0 6 1 5, 5, q  r  d  alfa  epsilon, 24, 3.119162312519754, Feynman-test_13 equation number 13
Ef*(d**3*(alfa - 1)/(r**2*(alfa + 2)) - r)*cos(theta), 1 5 0 6 1 5 1 5 1 5, 5, Ef  theta  r  d  alfa, 28, 3.228172342470702, Feynman-test_14 equation number 14
omega*sqrt(1 - v**2/c**2)/(1 + v*cos(theta)/c), 5 20 1 3 1 5 0 6, 4, c  v  omega  theta, 23, 3.028850348057615, Feynman-test_15 equation number 15
Volt*q + sqrt(c**4*m**2 + c**2*(-A_vec*q + p)**2), 1 5 1 5 1 5 1 5 1 5 1 5, 6, m  c  p  q  A_vec  Volt, 27, 3.128918579889484, Feynman-test_16 equation number 16
(m**2*omega**2*x**2*(alfa*x/y + 1) + p**2)/(2*m), 1 5 1 5 1 5 1 5 1 5 1 5, 6, m  omega  p  y  x  alfa, 29, 3.208292167464374, Feynman-test_17 equation number 17
3*(H_G**2 + c**2*k_f/r**2)/(8*pi*G), 1 5 1 5 1 5 1 5 1 5, 5, G  k_f  r  H_G  c, 24, 3.0724579351310863, Feynman-test_18 equation number 18
-(H_G**2*c**2*(1 - 2*alfa) + c**4*k_f/r**2)/(8*pi*G), 1 5 1 5 1 5 1 5 1 5 1 5, 6, G  k_f  r  H_G  alfa  c, 33, 3.2664203875273703, Feynman-test_19 equation number 19
alfa**2*h**2*omega_0**2*(omega/omega_0 - sin(betta)**2 + omega_0/omega)/(4*pi*c**2*m**2*omega**2), 1 5 1 5 1 5 1 5 1 5 1 5 0 6, 7, omega  omega_0  alfa  h  m  c  betta, 36, 3.3661640849694154, Feynman-test_20 equation number 20
